track_id;artist_name;track_name;release_year;genre;sadness;danceability;topic;acousticness;energy
t2318;the cold stares;under his command;2018;blues;0.0012531328792973;0.5841005090436479;world/life;0.908634446420127;30.0
t2319;blues traveler;when you fall down;2018;blues;0.2840527330231066;0.4671287772121737;obscene;0.0974890537038691;89.0
t2320;the record company;roll bones;2018;blues;0.0007017544230595;0.5960142965450017;violence;0.0084929804146389;86.0
t2321;anderson east;surrender;2018;blues;0.4363625986393014;0.3934799090219864;sadness;0.0346375849774949;96.0
t2322;dorothy;on my knees;2018;blues;0.0353329943498387;0.3804830499296003;violence;0.0013142583476489;90.0
t2323;anderson east;somebody pick up my pieces;2018;blues;0.4194148341256791;0.319831040831799;sadness;0.1244971129489086;63.0
t2324;the wood brothers;this is it;2018;blues;0.001169590651874;0.4627964908480451;world/life;0.016163670847059;79.0
t2325;janiva magness;down below;2018;blues;0.3778099304487481;0.4682118488032059;sadness;0.3343366810609247;58.0
t2326;jack white;everything you've ever learned;2018;blues;0.0408268302326116;0.3447416874255388;violence;0.0603404220285361;57.0
t2327;all them witches;fishbelly 86 onions;2018;blues;0.0040485832095021;0.151954944221813;violence;0.0205813459652067;84.0
t2328;buddy guy;blue no more;2018;blues;0.0966624315651436;0.4757933499404311;world/life;0.797188551394128;45.0
t2329;danielle nicole;cry no more;2018;blues;0.0010319918087181;0.5126177840355248;world/life;0.1877501885042053;62.0
t2330;anderson east;without you;2018;blues;0.1528986547158844;0.2093577385465179;violence;0.2499992469871957;56.0
t2331;anthony gomes;come down;2018;blues;0.0004210526462144;0.7790533954294379;night/time;0.000878514938268;56.0
t2332;joe bonamassa;love is a gamble;2018;blues;0.0480490300525778;0.2050254521823892;romantic;0.0031415694192464;69.0
t2333;the blue stones;lay;2018;blues;0.61275705011268;0.4508827033466912;sadness;0.0658625159262208;57.0
t2334;dorothy;28 days in the valley;2018;blues;0.0052631578947369;0.4032275533412759;world/life;0.8333331659971547;33.0
t2335;dorothy;white butterfly;2018;blues;0.057587105835638;0.1227120112639445;world/life;0.0877500881024981;60.0
